python3 main.py --epochs 30 --scale-factor 8 --no-early-stop  --num-batches-train 595
Epoch 30 of 30: Val loss 0.5980, Val accuracy 0.8847, Val iou 0.6068

For dataset train
8.78714244e-01   2.21828540e-02   4.95705913e-02   7.42567597e-03   2.40575268e-02   3.95237000e-03   5.12929959e-03   8.96743783e-03
1.88188458e-03   9.79992274e-01   3.31886872e-03   9.52380512e-04   3.66099049e-03   1.65292185e-07   1.88948803e-03   8.30394879e-03
3.34621615e-03   2.55653648e-03   9.30950645e-01   6.02351578e-03   4.23662051e-02   4.07581675e-03   3.82073788e-03   6.86032695e-03
2.03837000e-02   2.67035085e-02   2.76899155e-01   4.31634083e-01   1.75232512e-01   2.33096319e-02   1.55553284e-02   3.02820809e-02
1.78505230e-03   4.72105455e-03   2.24455514e-02   5.02176288e-03   9.55346965e-01   5.06313716e-03   1.26026082e-03   4.35621607e-03
1.12660259e-03   3.56745595e-07   1.65661952e-02   3.97521617e-03   2.77883414e-02   9.50226498e-01   5.77927865e-05   2.58997302e-04
1.44756158e-02   4.06035231e-02   1.01581745e-01   7.78923040e-03   3.12531360e-02   3.49682544e-04   7.33912275e-01   7.00347924e-02
2.90956174e-03   9.34974058e-03   2.02849969e-02   2.25907166e-03   1.46137356e-02   1.64559015e-04   6.07147025e-03   9.44346864e-01


For dataset dev
7.04739494e-01   1.39890499e-01   8.20772874e-02   9.46772511e-03   3.17259144e-02   6.29141181e-03   7.91776649e-03   1.78899015e-02
5.52464452e-03   9.71063420e-01   4.78342205e-03   1.69858130e-03   3.61217493e-03   8.34999318e-06   2.78183234e-03   1.05275750e-02
7.23713172e-03   1.24354580e-02   8.72674777e-01   1.11094275e-02   6.85157574e-02   7.27747748e-03   6.56290934e-03   1.41870614e-02
2.07862401e-02   4.17904654e-02   3.35867537e-01   2.97131851e-01   2.14873763e-01   1.41780014e-02   3.31277901e-02   4.22443525e-02
3.10694288e-03   9.29798347e-03   3.80565654e-02   6.79392071e-03   9.29970654e-01   4.98566756e-03   1.85355628e-03   5.93471006e-03
1.55578526e-03   0.00000000e+00   3.50812665e-02   4.08182247e-03   3.54131392e-02   9.23728473e-01   0.00000000e+00   1.39513352e-04
1.39717795e-02   4.22522859e-02   1.64638058e-01   1.62750230e-02   5.45854854e-02   1.52318706e-04   5.87636337e-01   1.20488712e-01
5.53751342e-03   1.59692242e-02   5.26365195e-02   3.55675435e-03   2.68453139e-02   2.75583872e-04   1.43484465e-02   8.80830644e-01
